ID,Comment,Brand,Platform,Sentiment,Theme,Date
60,"The collection looks okay, nothing special.",Khaadi,Facebook,Neutral,Delivery Experience,2024-02-10
61,Had a decent shopping experience.,Alkaram,Instagram,Neutral,Customer Service,2024-04-27
62,Disappointed with the delivery delay.,Khaadi,Instagram,Negative,New Collection,2024-03-25
63,Colors seem different from pictures.,Sapphire,Facebook,Neutral,New Collection,2024-08-01
64,Had a decent shopping experience.,Alkaram,Facebook,Neutral,Sale,2024-06-29
65,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,New Collection,2024-02-03
66,Disappointed with the delivery delay.,Alkaram,Twitter,Negative,Delivery Experience,2024-09-14
67,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Sale,2024-01-31
68,Excellent customer service. Highly recommended.,Sapphire,Twitter,Positive,Delivery Experience,2024-09-28
69,Loved the new collection! Absolutely stunning.,Sana Safinaz,Facebook,Positive,New Collection,2024-07-24
70,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,Sustainability,2024-01-24
71,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Facebook,Positive,Delivery Experience,2024-07-11
72,Great quality and beautiful designs.,Sana Safinaz,Instagram,Positive,Sale,2024-02-24
73,Colors seem different from pictures.,Sana Safinaz,Instagram,Neutral,Delivery Experience,2024-03-24
74,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,Customer Service,2024-01-04
75,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,Sale,2024-10-22
76,Had a decent shopping experience.,Khaadi,Instagram,Neutral,Customer Service,2024-12-05
77,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,Delivery Experience,2024-12-13
78,"The collection looks okay, nothing special.",Sapphire,Facebook,Neutral,New Collection,2024-09-12
79,"Poor fabric quality, not worth the price.",Alkaram,Twitter,Negative,Sale,2024-01-23
80,Great quality and beautiful designs.,Gul Ahmed,Facebook,Positive,Sustainability,2024-08-13
81,Received a wrong item and no response to complaint.,Khaadi,Instagram,Negative,Sale,2024-07-13
82,Disappointed with the delivery delay.,Sapphire,Twitter,Negative,New Collection,2024-09-19
83,Prices are a bit high compared to last year.,Sapphire,Instagram,Neutral,Sustainability,2024-02-03
84,"The collection looks okay, nothing special.",Sapphire,Facebook,Neutral,New Collection,2024-10-23
85,"The collection looks okay, nothing special.",Khaadi,Facebook,Neutral,Sale,2024-09-29
86,"Delivery was on time, average service.",Sana Safinaz,Instagram,Neutral,New Collection,2024-09-19
87,"The collection looks okay, nothing special.",Sapphire,Facebook,Neutral,Sustainability,2024-07-10
88,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,New Collection,2024-09-03
89,Had a decent shopping experience.,Sana Safinaz,Facebook,Neutral,Delivery Experience,2024-02-28
90,Bad experience with the website. Very slow.,Sana Safinaz,Twitter,Negative,Sale,2024-07-11
91,Prices are a bit high compared to last year.,Sapphire,Twitter,Neutral,Customer Service,2024-10-19
92,Customer service was unhelpful.,Alkaram,Instagram,Negative,Customer Service,2024-06-25
93,Loved the new collection! Absolutely stunning.,Alkaram,Twitter,Positive,Customer Service,2024-03-17
94,Customer service was unhelpful.,Sapphire,Instagram,Negative,Delivery Experience,2024-08-24
95,"Delivery was on time, average service.",Sapphire,Instagram,Neutral,Delivery Experience,2024-07-17
96,"Poor fabric quality, not worth the price.",Sana Safinaz,Twitter,Negative,Delivery Experience,2024-08-31
97,Great quality and beautiful designs.,Sana Safinaz,Twitter,Positive,Delivery Experience,2024-05-11
98,Colors seem different from pictures.,Sapphire,Instagram,Neutral,Sale,2024-07-30
99,Excellent customer service. Highly recommended.,Sana Safinaz,Instagram,Positive,Customer Service,2024-07-13
100,Customer service was unhelpful.,Khaadi,Instagram,Negative,Customer Service,2024-05-12
101,Appreciate the sustainable packaging. Well done!,Sapphire,Twitter,Positive,New Collection,2024-08-10
102,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Instagram,Positive,Sale,2024-03-31
103,Excellent customer service. Highly recommended.,Alkaram,Instagram,Positive,Sustainability,2024-10-22
104,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Delivery Experience,2024-01-28
105,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,Sustainability,2024-09-08
106,Prices are a bit high compared to last year.,Gul Ahmed,Instagram,Neutral,Sale,2024-09-11
107,Colors seem different from pictures.,Alkaram,Instagram,Neutral,Sustainability,2024-02-20
108,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,Sustainability,2024-02-23
109,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,New Collection,2024-11-12
110,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,Delivery Experience,2024-12-26
111,Very happy with the purchase. Will shop again!,Sapphire,Twitter,Positive,New Collection,2024-05-13
112,Prices are a bit high compared to last year.,Sana Safinaz,Instagram,Neutral,Customer Service,2024-04-19
113,Great quality and beautiful designs.,Sana Safinaz,Twitter,Positive,Sale,2024-08-17
114,Colors seem different from pictures.,Alkaram,Twitter,Neutral,Customer Service,2024-11-02
115,Very happy with the purchase. Will shop again!,Sana Safinaz,Facebook,Positive,Customer Service,2024-11-13
116,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,Sustainability,2024-08-28
117,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,Sale,2024-01-05
118,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,New Collection,2024-07-20
119,Appreciate the sustainable packaging. Well done!,Alkaram,Instagram,Positive,Sustainability,2024-07-31
120,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,New Collection,2024-07-21
121,Bad experience with the website. Very slow.,Sapphire,Facebook,Negative,Customer Service,2024-02-16
122,Customer service was unhelpful.,Sapphire,Twitter,Negative,New Collection,2024-12-22
123,Great quality and beautiful designs.,Sana Safinaz,Twitter,Positive,Sale,2024-12-03
124,Excellent customer service. Highly recommended.,Khaadi,Instagram,Positive,New Collection,2024-09-05
125,"The collection looks okay, nothing special.",Sapphire,Instagram,Neutral,Customer Service,2024-01-26
126,Prices are a bit high compared to last year.,Sapphire,Instagram,Neutral,Sustainability,2024-01-09
127,"The collection looks okay, nothing special.",Sana Safinaz,Facebook,Neutral,Sustainability,2024-11-03
128,Excellent customer service. Highly recommended.,Sapphire,Instagram,Positive,Customer Service,2024-06-11
129,Very happy with the purchase. Will shop again!,Sapphire,Facebook,Positive,Sustainability,2024-08-27
130,Received a wrong item and no response to complaint.,Gul Ahmed,Instagram,Negative,Sale,2024-07-09
131,Prices are a bit high compared to last year.,Sana Safinaz,Twitter,Neutral,Sale,2024-03-23
132,Customer service was unhelpful.,Gul Ahmed,Twitter,Negative,Customer Service,2024-05-01
133,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,New Collection,2024-10-14
134,"Poor fabric quality, not worth the price.",Alkaram,Instagram,Negative,Sustainability,2024-02-08
135,Loved the new collection! Absolutely stunning.,Gul Ahmed,Facebook,Positive,New Collection,2024-08-31
136,Loved the new collection! Absolutely stunning.,Alkaram,Facebook,Positive,Delivery Experience,2024-12-05
137,Received a wrong item and no response to complaint.,Alkaram,Twitter,Negative,Sustainability,2024-11-09
138,"Delivery was on time, average service.",Sapphire,Twitter,Neutral,Delivery Experience,2024-11-16
139,Customer service was unhelpful.,Gul Ahmed,Facebook,Negative,Sale,2024-08-02
140,Bad experience with the website. Very slow.,Gul Ahmed,Twitter,Negative,Customer Service,2024-01-19
141,"The collection looks okay, nothing special.",Gul Ahmed,Facebook,Neutral,Sale,2024-04-11
142,Had a decent shopping experience.,Alkaram,Instagram,Neutral,Sustainability,2024-04-27
143,Great quality and beautiful designs.,Gul Ahmed,Instagram,Positive,Sale,2024-12-01
144,"Poor fabric quality, not worth the price.",Khaadi,Facebook,Negative,Sale,2024-06-27
145,Customer service was unhelpful.,Gul Ahmed,Instagram,Negative,Sustainability,2024-05-17
146,Loved the new collection! Absolutely stunning.,Sapphire,Twitter,Positive,Delivery Experience,2024-06-20
147,Received a wrong item and no response to complaint.,Gul Ahmed,Twitter,Negative,Customer Service,2024-08-31
148,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,Sale,2024-12-02
149,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,New Collection,2024-04-07
150,Bad experience with the website. Very slow.,Sapphire,Instagram,Negative,New Collection,2024-03-20
151,Had a decent shopping experience.,Alkaram,Instagram,Neutral,New Collection,2024-09-03
152,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Sale,2024-03-21
153,Disappointed with the delivery delay.,Sana Safinaz,Twitter,Negative,Delivery Experience,2024-03-18
154,Colors seem different from pictures.,Sana Safinaz,Twitter,Neutral,Delivery Experience,2024-08-26
155,Very happy with the purchase. Will shop again!,Khaadi,Instagram,Positive,Sustainability,2024-11-09
156,Received a wrong item and no response to complaint.,Khaadi,Facebook,Negative,New Collection,2024-04-17
157,Customer service was unhelpful.,Alkaram,Instagram,Negative,Delivery Experience,2024-05-03
158,Great quality and beautiful designs.,Khaadi,Facebook,Positive,Delivery Experience,2024-12-12
159,Received a wrong item and no response to complaint.,Sapphire,Twitter,Negative,Customer Service,2024-08-04
160,Bad experience with the website. Very slow.,Gul Ahmed,Facebook,Negative,Sustainability,2024-03-30
161,Prices are a bit high compared to last year.,Alkaram,Twitter,Neutral,Delivery Experience,2024-09-20
162,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Delivery Experience,2024-03-19
163,Colors seem different from pictures.,Khaadi,Twitter,Neutral,Delivery Experience,2024-01-30
164,Great quality and beautiful designs.,Sana Safinaz,Facebook,Positive,Sale,2024-07-01
165,Very happy with the purchase. Will shop again!,Sapphire,Facebook,Positive,Sustainability,2024-11-19
166,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,Customer Service,2024-08-07
167,Loved the new collection! Absolutely stunning.,Alkaram,Facebook,Positive,Sale,2024-09-29
168,Prices are a bit high compared to last year.,Alkaram,Facebook,Neutral,Delivery Experience,2024-06-14
169,Bad experience with the website. Very slow.,Khaadi,Twitter,Negative,Customer Service,2024-09-10
170,Had a decent shopping experience.,Gul Ahmed,Facebook,Neutral,Customer Service,2024-07-04
171,Appreciate the sustainable packaging. Well done!,Khaadi,Twitter,Positive,Sale,2024-07-13
172,Colors seem different from pictures.,Khaadi,Instagram,Neutral,Sale,2024-01-06
173,"The collection looks okay, nothing special.",Gul Ahmed,Facebook,Neutral,Sustainability,2024-09-14
174,"Poor fabric quality, not worth the price.",Alkaram,Facebook,Negative,New Collection,2024-08-27
175,Loved the new collection! Absolutely stunning.,Sana Safinaz,Twitter,Positive,Sustainability,2024-05-15
176,Great quality and beautiful designs.,Khaadi,Instagram,Positive,New Collection,2024-12-10
177,"The collection looks okay, nothing special.",Alkaram,Twitter,Neutral,Sustainability,2024-11-23
178,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Delivery Experience,2024-08-14
179,Very happy with the purchase. Will shop again!,Alkaram,Instagram,Positive,Sustainability,2024-11-22
180,"Delivery was on time, average service.",Alkaram,Facebook,Neutral,Customer Service,2024-07-14
181,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Sale,2024-05-07
182,"The collection looks okay, nothing special.",Sapphire,Facebook,Neutral,Sustainability,2024-12-02
183,Appreciate the sustainable packaging. Well done!,Alkaram,Instagram,Positive,Customer Service,2024-05-08
184,Customer service was unhelpful.,Sana Safinaz,Facebook,Negative,Sustainability,2024-01-25
185,Very happy with the purchase. Will shop again!,Alkaram,Instagram,Positive,New Collection,2024-06-17
186,Prices are a bit high compared to last year.,Khaadi,Twitter,Neutral,Sustainability,2024-09-12
187,"The collection looks okay, nothing special.",Alkaram,Facebook,Neutral,Sale,2024-01-03
188,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,Customer Service,2024-05-29
189,Bad experience with the website. Very slow.,Sana Safinaz,Twitter,Negative,Customer Service,2024-03-14
190,Great quality and beautiful designs.,Alkaram,Facebook,Positive,Sale,2024-02-02
191,Colors seem different from pictures.,Gul Ahmed,Instagram,Neutral,New Collection,2024-12-24
192,Disappointed with the delivery delay.,Alkaram,Twitter,Negative,Sale,2024-06-19
193,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Facebook,Positive,Customer Service,2024-04-13
194,"The collection looks okay, nothing special.",Alkaram,Twitter,Neutral,Customer Service,2024-08-07
195,Great quality and beautiful designs.,Sana Safinaz,Instagram,Positive,New Collection,2024-10-03
196,Appreciate the sustainable packaging. Well done!,Alkaram,Twitter,Positive,Delivery Experience,2024-11-24
197,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Sustainability,2024-06-18
198,Great quality and beautiful designs.,Khaadi,Instagram,Positive,Delivery Experience,2024-01-10
199,Great quality and beautiful designs.,Sapphire,Twitter,Positive,Customer Service,2024-03-18
200,"Poor fabric quality, not worth the price.",Gul Ahmed,Instagram,Negative,Sale,2024-10-02
201,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,Delivery Experience,2024-03-13
202,Excellent customer service. Highly recommended.,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-04-06
203,Prices are a bit high compared to last year.,Sana Safinaz,Facebook,Neutral,Sustainability,2024-01-09
204,Bad experience with the website. Very slow.,Gul Ahmed,Twitter,Negative,Sustainability,2024-08-31
205,Bad experience with the website. Very slow.,Alkaram,Facebook,Negative,Customer Service,2024-07-08
206,"Delivery was on time, average service.",Sapphire,Facebook,Neutral,Sale,2024-06-18
207,Loved the new collection! Absolutely stunning.,Alkaram,Instagram,Positive,Sale,2024-11-13
208,Customer service was unhelpful.,Gul Ahmed,Facebook,Negative,Delivery Experience,2024-07-22
209,Great quality and beautiful designs.,Alkaram,Facebook,Positive,New Collection,2024-10-21
210,Colors seem different from pictures.,Sapphire,Facebook,Neutral,Customer Service,2024-11-30
211,"Delivery was on time, average service.",Gul Ahmed,Facebook,Neutral,New Collection,2024-03-07
212,"Delivery was on time, average service.",Sana Safinaz,Facebook,Neutral,New Collection,2024-07-15
213,Received a wrong item and no response to complaint.,Sapphire,Facebook,Negative,Sale,2024-02-26
214,Loved the new collection! Absolutely stunning.,Sapphire,Facebook,Positive,New Collection,2024-09-28
215,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,Customer Service,2024-01-12
216,Excellent customer service. Highly recommended.,Sapphire,Instagram,Positive,Customer Service,2024-08-31
217,"Delivery was on time, average service.",Khaadi,Facebook,Neutral,New Collection,2024-11-28
218,Appreciate the sustainable packaging. Well done!,Khaadi,Instagram,Positive,Customer Service,2024-02-26
219,"Delivery was on time, average service.",Sana Safinaz,Twitter,Neutral,Sustainability,2024-01-14
220,Excellent customer service. Highly recommended.,Khaadi,Twitter,Positive,Delivery Experience,2024-11-27
221,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,Customer Service,2024-10-04
222,Disappointed with the delivery delay.,Sana Safinaz,Instagram,Negative,Sustainability,2024-03-04
223,"The collection looks okay, nothing special.",Alkaram,Instagram,Neutral,Sustainability,2024-10-12
224,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-03-17
225,Customer service was unhelpful.,Sapphire,Twitter,Negative,Sustainability,2024-07-19
226,Received a wrong item and no response to complaint.,Gul Ahmed,Facebook,Negative,Sustainability,2024-01-22
227,Received a wrong item and no response to complaint.,Alkaram,Facebook,Negative,New Collection,2024-02-28
228,Received a wrong item and no response to complaint.,Khaadi,Twitter,Negative,New Collection,2024-01-29
229,Appreciate the sustainable packaging. Well done!,Sapphire,Facebook,Positive,Sale,2024-02-26
230,Loved the new collection! Absolutely stunning.,Sana Safinaz,Twitter,Positive,New Collection,2024-11-06
231,"Poor fabric quality, not worth the price.",Alkaram,Twitter,Negative,Sustainability,2024-05-10
232,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,New Collection,2024-07-23
233,Disappointed with the delivery delay.,Sapphire,Twitter,Negative,Sale,2024-05-02
234,Colors seem different from pictures.,Khaadi,Twitter,Neutral,Delivery Experience,2024-03-24
235,"Poor fabric quality, not worth the price.",Alkaram,Instagram,Negative,Delivery Experience,2024-05-19
236,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,Sale,2024-07-16
237,Great quality and beautiful designs.,Sana Safinaz,Twitter,Positive,Delivery Experience,2024-02-27
238,Bad experience with the website. Very slow.,Khaadi,Facebook,Negative,Sustainability,2024-06-27
239,Great quality and beautiful designs.,Khaadi,Twitter,Positive,Sustainability,2024-03-04
240,Loved the new collection! Absolutely stunning.,Alkaram,Instagram,Positive,Sale,2024-11-25
241,Had a decent shopping experience.,Gul Ahmed,Facebook,Neutral,Sustainability,2024-09-12
242,"Delivery was on time, average service.",Alkaram,Facebook,Neutral,Sustainability,2024-03-25
243,Customer service was unhelpful.,Alkaram,Facebook,Negative,Delivery Experience,2024-06-01
244,"Delivery was on time, average service.",Khaadi,Instagram,Neutral,Sale,2024-04-06
245,"Poor fabric quality, not worth the price.",Alkaram,Twitter,Negative,Delivery Experience,2024-08-26
246,"Poor fabric quality, not worth the price.",Khaadi,Instagram,Negative,Delivery Experience,2024-09-08
247,Received a wrong item and no response to complaint.,Gul Ahmed,Facebook,Negative,Customer Service,2024-04-05
248,Very happy with the purchase. Will shop again!,Khaadi,Twitter,Positive,New Collection,2024-10-07
249,Colors seem different from pictures.,Gul Ahmed,Instagram,Neutral,New Collection,2024-01-06
250,"Poor fabric quality, not worth the price.",Sana Safinaz,Twitter,Negative,Sustainability,2024-11-14
251,Colors seem different from pictures.,Khaadi,Twitter,Neutral,Customer Service,2024-01-24
252,Colors seem different from pictures.,Khaadi,Instagram,Neutral,Sustainability,2024-02-14
253,Loved the new collection! Absolutely stunning.,Sapphire,Facebook,Positive,Sale,2024-04-28
254,Customer service was unhelpful.,Gul Ahmed,Facebook,Negative,Delivery Experience,2024-10-25
255,Customer service was unhelpful.,Sapphire,Twitter,Negative,Sale,2024-12-21
256,Received a wrong item and no response to complaint.,Sana Safinaz,Instagram,Negative,Sustainability,2024-09-09
257,"Delivery was on time, average service.",Khaadi,Twitter,Neutral,Sustainability,2024-02-17
258,Very happy with the purchase. Will shop again!,Khaadi,Instagram,Positive,Delivery Experience,2024-12-15
259,Prices are a bit high compared to last year.,Khaadi,Facebook,Neutral,Delivery Experience,2024-03-14
260,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Sustainability,2024-03-22
261,Appreciate the sustainable packaging. Well done!,Sana Safinaz,Instagram,Positive,Customer Service,2024-11-28
262,Prices are a bit high compared to last year.,Gul Ahmed,Facebook,Neutral,Delivery Experience,2024-05-14
263,Very happy with the purchase. Will shop again!,Sana Safinaz,Facebook,Positive,Delivery Experience,2024-01-14
264,Prices are a bit high compared to last year.,Gul Ahmed,Instagram,Neutral,Sale,2024-11-08
265,"Poor fabric quality, not worth the price.",Sapphire,Twitter,Negative,Sale,2024-01-01
266,"Delivery was on time, average service.",Gul Ahmed,Twitter,Neutral,New Collection,2024-02-11
267,Disappointed with the delivery delay.,Sana Safinaz,Instagram,Negative,New Collection,2024-06-27
268,Bad experience with the website. Very slow.,Sana Safinaz,Facebook,Negative,Delivery Experience,2024-11-08
269,Excellent customer service. Highly recommended.,Alkaram,Instagram,Positive,Delivery Experience,2024-11-04
270,"Delivery was on time, average service.",Sapphire,Twitter,Neutral,Sustainability,2024-07-15
271,"The collection looks okay, nothing special.",Sana Safinaz,Twitter,Neutral,Customer Service,2024-02-23
272,Disappointed with the delivery delay.,Sapphire,Facebook,Negative,Delivery Experience,2024-04-02
273,Had a decent shopping experience.,Sana Safinaz,Facebook,Neutral,Customer Service,2024-01-20
274,Loved the new collection! Absolutely stunning.,Khaadi,Instagram,Positive,Customer Service,2024-02-26
275,Received a wrong item and no response to complaint.,Sapphire,Instagram,Negative,New Collection,2024-02-12
276,"Poor fabric quality, not worth the price.",Khaadi,Twitter,Negative,Sale,2024-07-20
277,Bad experience with the website. Very slow.,Gul Ahmed,Instagram,Negative,Sustainability,2024-05-07
278,Prices are a bit high compared to last year.,Alkaram,Instagram,Neutral,Customer Service,2024-08-11
279,Appreciate the sustainable packaging. Well done!,Alkaram,Twitter,Positive,Delivery Experience,2024-12-08
280,Customer service was unhelpful.,Sana Safinaz,Twitter,Negative,Customer Service,2024-06-07
281,Colors seem different from pictures.,Khaadi,Instagram,Neutral,New Collection,2024-08-04
282,Very happy with the purchase. Will shop again!,Alkaram,Facebook,Positive,New Collection,2024-01-14
283,Received a wrong item and no response to complaint.,Sana Safinaz,Twitter,Negative,Delivery Experience,2024-03-18
284,"The collection looks okay, nothing special.",Sapphire,Twitter,Neutral,New Collection,2024-08-08
285,"The collection looks okay, nothing special.",Gul Ahmed,Facebook,Neutral,Sustainability,2024-11-17
286,Colors seem different from pictures.,Alkaram,Facebook,Neutral,New Collection,2024-05-26
287,Bad experience with the website. Very slow.,Gul Ahmed,Facebook,Negative,Sustainability,2024-09-08
288,Excellent customer service. Highly recommended.,Sana Safinaz,Instagram,Positive,New Collection,2024-03-07
289,Bad experience with the website. Very slow.,Alkaram,Instagram,Negative,New Collection,2024-05-13
290,Great quality and beautiful designs.,Sana Safinaz,Instagram,Positive,Sale,2024-06-18
291,Appreciate the sustainable packaging. Well done!,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-07-31
292,Excellent customer service. Highly recommended.,Sana Safinaz,Instagram,Positive,New Collection,2024-06-30
293,Excellent customer service. Highly recommended.,Sana Safinaz,Twitter,Positive,Sale,2024-07-14
294,Customer service was unhelpful.,Sapphire,Facebook,Negative,Customer Service,2024-04-13
295,"The collection looks okay, nothing special.",Sana Safinaz,Instagram,Neutral,New Collection,2024-09-30
296,Bad experience with the website. Very slow.,Sapphire,Twitter,Negative,Customer Service,2024-02-24
297,Prices are a bit high compared to last year.,Khaadi,Twitter,Neutral,New Collection,2024-12-08
298,Had a decent shopping experience.,Alkaram,Facebook,Neutral,Customer Service,2024-11-18
299,Very happy with the purchase. Will shop again!,Gul Ahmed,Twitter,Positive,Delivery Experience,2024-10-31
300,"The collection looks okay, nothing special.",Sapphire,Instagram,Neutral,Delivery Experience,2024-11-28
301,"Delivery was on time, average service.",Alkaram,Twitter,Neutral,New Collection,2024-12-16
